sample_step,avg_loss,time,lr,cond
120320,2.504354,1768481761.199,0.0002,Y
120960,2.589152,1768481783.377,0.0002,Y
121600,2.566926,1768481806.063,0.0002,Y
122240,2.536502,1768481827.806,0.0002,Y
122880,2.542267,1768481850.067,0.0002,Y
123520,2.533253,1768481871.963,0.0002,Y
124160,2.515813,1768481893.894,0.0002,Y
124800,2.592898,1768481915.365,0.0002,Y
125440,2.586974,1768481937.377,0.0002,Y
126080,2.528280,1768481959.343,0.0002,Y
126720,2.548027,1768481981.503,0.0002,Y
127360,2.555314,1768482003.151,0.0002,Y
128000,2.513405,1768482025.794,0.0002,Y
128640,2.564274,1768482047.812,0.0002,Y
129280,2.552528,1768482070.040,0.0002,Y
129920,2.473023,1768482092.114,0.0002,Y
130560,2.502936,1768482113.835,0.0002,Y
131200,2.545255,1768482135.651,0.0002,Y
131840,2.559431,1768482158.018,0.0002,Y
132480,2.552074,1768482179.871,0.0002,Y
133120,2.507473,1768482201.384,0.0002,Y
133760,2.479790,1768482223.426,0.0002,Y
134400,2.463165,1768482245.465,0.0002,Y
135040,2.482776,1768482267.329,0.0002,Y
135680,2.484344,1768482289.729,0.0002,Y
136320,2.484201,1768482311.315,0.0002,Y
136960,2.524409,1768482332.935,0.0002,Y
137600,2.532409,1768482354.529,0.0002,Y
138240,2.416442,1768482376.301,0.0002,Y
138880,2.511931,1768482398.053,0.0002,Y
139520,2.489149,1768482420.130,0.0002,Y
140160,2.485920,1768482442.000,0.0002,Y
140800,2.479821,1768482464.207,0.0002,Y
141440,2.472897,1768482485.996,0.0002,Y
142080,2.473757,1768482507.693,0.0002,Y
142720,2.534048,1768482529.726,0.0002,Y
143360,2.452555,1768482552.365,0.0002,Y
144000,2.431227,1768482574.237,0.0002,Y
144640,2.477173,1768482596.166,0.0002,Y
145280,2.462736,1768482617.995,0.0002,Y
145920,2.408487,1768482640.022,0.0002,Y
146560,2.547645,1768482662.193,0.0002,Y
147200,2.441514,1768482683.698,0.0002,Y
147840,2.440653,1768482705.871,0.0002,Y
148480,2.517102,1768482728.174,0.0002,Y
149120,2.426982,1768482749.907,0.0002,Y
149760,2.451204,1768482771.796,0.0002,Y
150400,2.480873,1768482793.806,0.0002,Y
151040,2.444409,1768482815.834,0.0002,Y
151680,2.418733,1768482837.754,0.0002,Y
152320,2.379206,1768482859.408,0.0002,Y
152960,2.478964,1768482881.619,0.0002,Y
153600,2.390526,1768482903.012,0.0002,Y
154240,2.446195,1768482924.823,0.0002,Y
154880,2.411815,1768482947.391,0.0002,Y
155520,2.427785,1768482969.392,0.0002,Y
156160,2.412440,1768482991.187,0.0002,Y
156800,2.406652,1768483013.573,0.0002,Y
157440,2.428654,1768483035.280,0.0002,Y
158080,2.431071,1768483057.554,0.0002,Y
158720,2.384332,1768483080.255,0.0002,Y
159360,2.432202,1768483101.720,0.0002,Y
160000,2.407603,1768483123.818,0.0002,Y
