sample_step,avg_loss,time,lr,cond
133760,1.842110,1768479005.827,0.0002,Y
134400,1.872674,1768479014.750,0.0002,Y
135040,1.890165,1768479023.614,0.0002,Y
135680,1.924153,1768479032.718,0.0002,Y
136320,1.839262,1768479041.719,0.0002,Y
136960,1.815255,1768479050.520,0.0002,Y
137600,1.832076,1768479059.297,0.0002,Y
138240,1.880864,1768479068.080,0.0002,Y
138880,1.829665,1768479076.867,0.0002,Y
139520,1.821711,1768479085.666,0.0002,Y
140160,1.783911,1768479094.568,0.0002,Y
140800,1.909319,1768479103.426,0.0002,Y
141440,1.904089,1768479112.247,0.0002,Y
142080,1.812469,1768479121.071,0.0002,Y
142720,1.873775,1768479129.862,0.0002,Y
143360,1.842672,1768479138.730,0.0002,Y
144000,1.834259,1768479147.525,0.0002,Y
144640,1.844408,1768479156.425,0.0002,Y
145280,1.786097,1768479165.313,0.0002,Y
145920,1.863161,1768479174.254,0.0002,Y
146560,1.849768,1768479183.146,0.0002,Y
147200,1.851127,1768479192.033,0.0002,Y
147840,1.837269,1768479200.906,0.0002,Y
148480,1.841832,1768479209.817,0.0002,Y
149120,1.758983,1768479218.912,0.0002,Y
149760,1.865258,1768479227.896,0.0002,Y
150400,1.903503,1768479236.774,0.0002,Y
151040,1.806815,1768479245.573,0.0002,Y
151680,1.800075,1768479254.320,0.0002,Y
152320,1.781041,1768479263.167,0.0002,Y
152960,1.813545,1768479271.954,0.0002,Y
153600,1.759830,1768479280.790,0.0002,Y
154240,1.847339,1768479289.594,0.0002,Y
154880,1.791901,1768479298.539,0.0002,Y
155520,1.825970,1768479307.369,0.0002,Y
156160,1.781288,1768479316.379,0.0002,Y
156800,1.803696,1768479325.358,0.0002,Y
157440,1.776497,1768479334.151,0.0002,Y
158080,1.813230,1768479342.951,0.0002,Y
158720,1.764965,1768479351.866,0.0002,Y
159360,1.789967,1768479360.733,0.0002,Y
160000,1.754441,1768479369.512,0.0002,Y
160640,1.740559,1768479378.276,0.0002,Y
161280,1.783307,1768479387.094,0.0002,Y
161920,1.832688,1768479395.895,0.0002,Y
162560,1.763274,1768479404.592,0.0002,Y
163200,1.721587,1768479413.414,0.0002,Y
163840,1.769174,1768479422.302,0.0002,Y
164480,1.820710,1768479430.974,0.0002,Y
165120,1.822693,1768479439.710,0.0002,Y
165760,1.748361,1768479448.496,0.0002,Y
166400,1.727982,1768479457.291,0.0002,Y
167040,1.819464,1768479466.019,0.0002,Y
167680,1.796323,1768479474.728,0.0002,Y
168320,1.735841,1768479483.616,0.0002,Y
168960,1.772961,1768479492.377,0.0002,Y
169600,1.724252,1768479501.151,0.0002,Y
170240,1.779249,1768479509.924,0.0002,Y
170880,1.809394,1768479518.723,0.0002,Y
171520,1.880919,1768479527.476,0.0002,Y
172160,1.776504,1768479536.173,0.0002,Y
172800,1.731787,1768479545.049,0.0002,Y
173440,1.772235,1768479553.932,0.0002,Y
174080,1.802920,1768479562.691,0.0002,Y
174720,1.756679,1768479571.492,0.0002,Y
175360,1.817108,1768479580.205,0.0002,Y
176000,1.757625,1768479588.981,0.0002,Y
176640,1.762619,1768479597.742,0.0002,Y
177280,1.787969,1768479606.660,0.0002,Y
177920,1.692661,1768479615.442,0.0002,Y
178560,1.765457,1768479624.297,0.0002,Y
179200,1.719894,1768479633.181,0.0002,Y
179840,1.696000,1768479642.068,0.0002,Y
180480,1.793308,1768479650.912,0.0002,Y
181120,1.728969,1768479659.856,0.0002,Y
181760,1.755393,1768479668.798,0.0002,Y
182400,1.727088,1768479677.729,0.0002,Y
183040,1.763327,1768479686.464,0.0002,Y
183680,1.682134,1768479695.290,0.0002,Y
184320,1.750253,1768479704.115,0.0002,Y
184960,1.691541,1768479712.949,0.0002,Y
185600,1.761355,1768479721.817,0.0002,Y
186240,1.679999,1768479730.577,0.0002,Y
186880,1.677432,1768479739.489,0.0002,Y
187520,1.702480,1768479748.458,0.0002,Y
188160,1.759569,1768479757.244,0.0002,Y
188800,1.722422,1768479766.015,0.0002,Y
189440,1.731851,1768479774.734,0.0002,Y
190080,1.745671,1768479783.505,0.0002,Y
190720,1.669007,1768479792.220,0.0002,Y
191360,1.680545,1768479801.194,0.0002,Y
192000,1.791587,1768479810.064,0.0002,Y
192640,1.705873,1768479818.785,0.0002,Y
193280,1.720836,1768479827.517,0.0002,Y
193920,1.683731,1768479836.234,0.0002,Y
194560,1.747171,1768479845.003,0.0002,Y
195200,1.678886,1768479853.792,0.0002,Y
195840,1.712539,1768479862.599,0.0002,Y
196480,1.700725,1768479871.504,0.0002,Y
197120,1.703417,1768479880.242,0.0002,Y
197760,1.732957,1768479889.109,0.0002,Y
198400,1.700915,1768479897.871,0.0002,Y
199040,1.680285,1768479906.646,0.0002,Y
199680,1.691330,1768479915.500,0.0002,Y
200320,1.688587,1768479924.407,0.0002,Y
200960,1.623452,1768479933.348,0.0002,Y
201600,1.750552,1768479942.224,0.0002,Y
202240,1.743832,1768479950.922,0.0002,Y
202880,1.729813,1768479959.737,0.0002,Y
203520,1.744279,1768479968.585,0.0002,Y
204160,1.658086,1768479977.467,0.0002,Y
204800,1.699268,1768479986.332,0.0002,Y
205440,1.706773,1768479995.331,0.0002,Y
206080,1.666775,1768480004.137,0.0002,Y
206720,1.654695,1768480012.922,0.0002,Y
207360,1.760672,1768480021.755,0.0002,Y
208000,1.744681,1768480030.555,0.0002,Y
208640,1.648574,1768480039.339,0.0002,Y
209280,1.669644,1768480048.136,0.0002,Y
209920,1.715394,1768480057.169,0.0002,Y
210560,1.679067,1768480066.062,0.0002,Y
211200,1.677067,1768480074.796,0.0002,Y
211840,1.664023,1768480083.625,0.0002,Y
212480,1.724354,1768480092.382,0.0002,Y
213120,1.669770,1768480101.146,0.0002,Y
213760,1.628544,1768480109.991,0.0002,Y
214400,1.691629,1768480118.872,0.0002,Y
215040,1.722446,1768480127.832,0.0002,Y
215680,1.547126,1768480136.566,0.0002,Y
216320,1.717537,1768480145.370,0.0002,Y
216960,1.669604,1768480154.092,0.0002,Y
217600,1.736990,1768480162.884,0.0002,Y
218240,1.706282,1768480171.844,0.0002,Y
218880,1.656935,1768480180.530,0.0002,Y
219520,1.656359,1768480189.315,0.0002,Y
220160,1.630762,1768480198.081,0.0002,Y
220800,1.708117,1768480206.724,0.0002,Y
221440,1.589084,1768480215.443,0.0002,Y
222080,1.684673,1768480224.077,0.0002,Y
222720,1.757852,1768480232.767,0.0002,Y
223360,1.677783,1768480241.503,0.0002,Y
224000,1.649070,1768480250.295,0.0002,Y
224640,1.650317,1768480259.175,0.0002,Y
225280,1.589227,1768480267.916,0.0002,Y
225920,1.620445,1768480276.583,0.0002,Y
226560,1.690835,1768480285.255,0.0002,Y
227200,1.607122,1768480293.874,0.0002,Y
227840,1.616866,1768480302.477,0.0002,Y
228480,1.664921,1768480311.131,0.0002,Y
229120,1.591048,1768480319.975,0.0002,Y
229760,1.630341,1768480328.728,0.0002,Y
230400,1.652003,1768480337.370,0.0002,Y
231040,1.659176,1768480345.980,0.0002,Y
231680,1.605751,1768480354.605,0.0002,Y
232320,1.578514,1768480363.221,0.0002,Y
232960,1.670552,1768480371.873,0.0002,Y
233600,1.644792,1768480380.555,0.0002,Y
234240,1.628043,1768480389.325,0.0002,Y
234880,1.677360,1768480397.990,0.0002,Y
235520,1.653080,1768480406.565,0.0002,Y
236160,1.591397,1768480415.119,0.0002,Y
236800,1.657642,1768480423.720,0.0002,Y
237440,1.684502,1768480432.353,0.0002,Y
238080,1.601778,1768480441.036,0.0002,Y
238720,1.641481,1768480449.723,0.0002,Y
239360,1.650379,1768480458.400,0.0002,Y
240000,1.660659,1768480467.118,0.0002,Y
240640,1.642758,1768480475.821,0.0002,Y
241280,1.672069,1768480484.561,0.0002,Y
241920,1.578544,1768480493.240,0.0002,Y
242560,1.633206,1768480501.880,0.0002,Y
243200,1.593607,1768480510.636,0.0002,Y
243840,1.578826,1768480519.519,0.0002,Y
244480,1.618647,1768480528.248,0.0002,Y
245120,1.678411,1768480536.879,0.0002,Y
245760,1.556050,1768480545.564,0.0002,Y
246400,1.561690,1768480554.269,0.0002,Y
247040,1.634871,1768480562.895,0.0002,Y
247680,1.622020,1768480571.513,0.0002,Y
248320,1.597165,1768480580.366,0.0002,Y
248960,1.655465,1768480589.099,0.0002,Y
249600,1.595511,1768480597.784,0.0002,Y
250240,1.623656,1768480606.384,0.0002,Y
250880,1.621013,1768480614.957,0.0002,Y
251520,1.574432,1768480623.629,0.0002,Y
252160,1.547094,1768480632.295,0.0002,Y
252800,1.587174,1768480640.854,0.0002,Y
253440,1.648881,1768480649.743,0.0002,Y
254080,1.628959,1768480658.599,0.0002,Y
254720,1.652028,1768480667.339,0.0002,Y
255360,1.604090,1768480676.071,0.0002,Y
256000,1.624280,1768480684.858,0.0002,Y
256640,1.590914,1768480693.632,0.0002,Y
257280,1.614366,1768480702.451,0.0002,Y
257920,1.603615,1768480711.355,0.0002,Y
258560,1.632986,1768480720.130,0.0002,Y
259200,1.602855,1768480728.892,0.0002,Y
259840,1.607968,1768480737.745,0.0002,Y
260480,1.573089,1768480746.474,0.0002,Y
261120,1.571628,1768480755.203,0.0002,Y
261760,1.601397,1768480763.958,0.0002,Y
262400,1.608350,1768480772.835,0.0002,Y
263040,1.645607,1768480781.658,0.0002,Y
263680,1.609282,1768480790.250,0.0002,Y
264320,1.586775,1768480798.974,0.0002,Y
264960,1.637999,1768480807.491,0.0002,Y
265600,1.618437,1768480816.057,0.0002,Y
266240,1.622736,1768480824.740,0.0002,Y
266880,1.602330,1768480833.384,0.0002,Y
267520,1.643376,1768480842.225,0.0002,Y
268160,1.571591,1768480850.948,0.0002,Y
268800,1.535843,1768480859.625,0.0002,Y
269440,1.572366,1768480868.204,0.0002,Y
270080,1.592494,1768480876.885,0.0002,Y
270720,1.633070,1768480885.482,0.0002,Y
271360,1.551969,1768480894.085,0.0002,Y
272000,1.592988,1768480902.781,0.0002,Y
272640,1.501694,1768480911.540,0.0002,Y
273280,1.608557,1768480920.232,0.0002,Y
273920,1.596923,1768480928.878,0.0002,Y
274560,1.555069,1768480937.531,0.0002,Y
275200,1.529820,1768480946.102,0.0002,Y
275840,1.578219,1768480954.746,0.0002,Y
276480,1.569196,1768480963.369,0.0002,Y
277120,1.527893,1768480972.084,0.0002,Y
277760,1.625581,1768480980.809,0.0002,Y
278400,1.552076,1768480989.488,0.0002,Y
279040,1.520496,1768480998.026,0.0002,Y
279680,1.655220,1768481006.588,0.0002,Y
280320,1.562626,1768481015.374,0.0002,Y
280960,1.574030,1768481024.117,0.0002,Y
281600,1.548895,1768481032.748,0.0002,Y
282240,1.636263,1768481041.533,0.0002,Y
282880,1.589096,1768481050.264,0.0002,Y
283520,1.611031,1768481058.932,0.0002,Y
284160,1.555409,1768481067.654,0.0002,Y
284800,1.616575,1768481076.231,0.0002,Y
285440,1.625454,1768481084.842,0.0002,Y
286080,1.536395,1768481093.494,0.0002,Y
286720,1.538998,1768481102.388,0.0002,Y
287360,1.572937,1768481111.012,0.0002,Y
288000,1.563091,1768481119.672,0.0002,Y
288640,1.598591,1768481128.315,0.0002,Y
289280,1.586517,1768481136.943,0.0002,Y
289920,1.550116,1768481145.530,0.0002,Y
290560,1.598154,1768481154.106,0.0002,Y
291200,1.635154,1768481162.767,0.0002,Y
291840,1.526370,1768481171.527,0.0002,Y
292480,1.470220,1768481180.201,0.0002,Y
293120,1.543928,1768481188.817,0.0002,Y
293760,1.569973,1768481197.511,0.0002,Y
294400,1.580842,1768481205.977,0.0002,Y
295040,1.587855,1768481214.607,0.0002,Y
295680,1.546773,1768481223.289,0.0002,Y
296320,1.552589,1768481232.143,0.0002,Y
296960,1.502524,1768481240.926,0.0002,Y
297600,1.574620,1768481249.544,0.0002,Y
298240,1.528329,1768481258.144,0.0002,Y
298880,1.546915,1768481266.871,0.0002,Y
299520,1.544917,1768481275.476,0.0002,Y
300160,1.568565,1768481284.037,0.0002,Y
300800,1.589593,1768481292.674,0.0002,Y
301440,1.542702,1768481301.454,0.0002,Y
302080,1.583718,1768481310.156,0.0002,Y
302720,1.540189,1768481318.797,0.0002,Y
