epoch,loss,recon,kl,atom_ce,prop_mse,kl_w
258,13.971168,3.281113,4.516993,0.362322,0.151912,0.8000
259,13.981483,3.282287,4.526210,0.361192,0.152463,0.8000
260,13.977435,3.281301,4.523073,0.362965,0.152108,0.8000
261,13.960801,3.279151,4.510826,0.363071,0.151616,0.8000
262,13.977759,3.281291,4.526672,0.361311,0.151238,0.8000
263,13.983354,3.282657,4.528128,0.361430,0.151450,0.8000
264,13.981979,3.283502,4.521292,0.361983,0.152458,0.8000
265,13.976644,3.282407,4.518572,0.362920,0.151646,0.8000
266,13.981279,3.282331,4.525385,0.362962,0.151017,0.8000
267,13.969370,3.280054,4.516968,0.363348,0.152285,0.8000
268,13.973125,3.279835,4.523998,0.362387,0.152033,0.8000
269,13.966045,3.279642,4.515858,0.363383,0.151050,0.8000
270,13.982673,3.282339,4.526772,0.362372,0.151866,0.8000
271,13.982736,3.282794,4.524560,0.362589,0.152117,0.8000
272,13.971532,3.280779,4.519035,0.361497,0.152470,0.8000
273,13.973672,3.280908,4.521609,0.361930,0.151733,0.8000
274,13.960487,3.278890,4.512874,0.361967,0.151549,0.8000
275,13.979208,3.282289,4.524325,0.360818,0.152062,0.8000
276,13.969241,3.279894,4.520290,0.361585,0.151742,0.8000
277,13.972334,3.280547,4.520792,0.361726,0.152332,0.8000
278,13.976412,3.281414,4.521811,0.362679,0.152041,0.8000
279,13.962278,3.279957,4.511555,0.361612,0.151550,0.8000
280,13.973403,3.281288,4.518922,0.362472,0.151928,0.8000
281,13.969418,3.279839,4.519950,0.361889,0.152051,0.8000
282,13.966691,3.279301,4.518844,0.361674,0.152040,0.8000
283,13.974036,3.281084,4.522860,0.360495,0.152001,0.8000
284,13.975473,3.281311,4.522292,0.362574,0.151132,0.8000
285,13.969184,3.280762,4.516587,0.361539,0.152090,0.8000
286,13.982788,3.282711,4.526473,0.361594,0.151883,0.8000
287,13.967491,3.278999,4.522284,0.361440,0.151229,0.8000
288,13.981701,3.281344,4.530447,0.361492,0.151819,0.8000
289,13.977483,3.281371,4.524254,0.361777,0.152189,0.8000
290,13.975566,3.280742,4.525081,0.361754,0.151522,0.8000
291,13.980540,3.282814,4.523761,0.361438,0.151651,0.8000
292,13.971451,3.279592,4.524884,0.361123,0.151645,0.8000
293,13.971826,3.279872,4.524174,0.360863,0.152008,0.8000
294,13.964047,3.279422,4.515109,0.361923,0.151771,0.8000
295,13.969010,3.279934,4.518341,0.362311,0.152225,0.8000
296,13.985286,3.282582,4.529509,0.361805,0.152126,0.8000
297,13.977602,3.280876,4.527816,0.360386,0.152335,0.8000
298,13.966960,3.279828,4.520028,0.359397,0.152057,0.8000
299,13.982267,3.281741,4.531456,0.360504,0.151374,0.8000
300,13.966420,3.278557,4.522201,0.360239,0.152749,0.8000
301,13.980998,3.281651,4.530420,0.359687,0.152023,0.8000
302,13.974432,3.280422,4.524477,0.361555,0.152030,0.8000
303,13.987355,3.282886,4.532404,0.360782,0.151991,0.8000
304,13.970401,3.279836,4.519422,0.362325,0.153031,0.8000
305,13.964835,3.279352,4.518257,0.360189,0.151985,0.8000
306,13.964945,3.278200,4.522372,0.360298,0.152148,0.8000
307,13.972629,3.280167,4.523189,0.361465,0.152111,0.8000
308,13.973120,3.279815,4.524629,0.361373,0.152597,0.8000
309,13.973006,3.280654,4.523045,0.360328,0.152281,0.8000
310,13.973746,3.279914,4.527137,0.360290,0.152004,0.8000
311,13.972732,3.280144,4.524350,0.361097,0.151724,0.8000
312,13.980798,3.281330,4.531756,0.360043,0.151361,0.8000
313,13.969536,3.279205,4.524507,0.360755,0.151560,0.8000
314,13.974088,3.280946,4.522871,0.360815,0.152139,0.8000
315,13.971294,3.280829,4.520486,0.360878,0.151541,0.8000
316,13.968379,3.280094,4.519372,0.360362,0.152238,0.8000
317,13.967722,3.280198,4.518497,0.359940,0.152390,0.8000
318,13.960847,3.278519,4.516422,0.360521,0.151630,0.8000
319,13.961389,3.277674,4.519627,0.360843,0.151823,0.8000
320,13.965473,3.278506,4.522174,0.360782,0.151432,0.8000
321,13.971583,3.280473,4.522759,0.359909,0.152049,0.8000
322,13.968483,3.280188,4.519403,0.360437,0.151960,0.8000
323,13.970400,3.280126,4.522681,0.359699,0.152177,0.8000
324,13.970835,3.280173,4.524829,0.358900,0.151553,0.8000
325,13.973935,3.280341,4.528087,0.358631,0.151811,0.8000
326,13.976733,3.280145,4.531807,0.358441,0.152412,0.8000
327,13.964317,3.278155,4.522033,0.359831,0.152394,0.8000
328,13.960427,3.277313,4.519957,0.360430,0.152092,0.8000
329,13.972172,3.280332,4.523334,0.360620,0.151888,0.8000
330,13.968134,3.279108,4.523257,0.359962,0.152243,0.8000
331,13.959916,3.277279,4.520157,0.359611,0.152341,0.8000
332,13.971989,3.279773,4.526722,0.359263,0.152028,0.8000
333,13.958898,3.277821,4.517388,0.359967,0.151557,0.8000
334,13.963765,3.278675,4.520002,0.359783,0.151956,0.8000
335,13.978153,3.280730,4.531598,0.359168,0.151518,0.8000
336,13.961385,3.278028,4.518650,0.359765,0.152615,0.8000
337,13.963665,3.279052,4.520527,0.357918,0.152168,0.8000
338,13.963357,3.278883,4.518484,0.359765,0.152157,0.8000
339,13.962710,3.279331,4.516096,0.359896,0.151943,0.8000
340,13.973952,3.280469,4.526459,0.359514,0.151864,0.8000
341,13.979925,3.281747,4.528838,0.359617,0.151996,0.8000
342,13.973168,3.281260,4.522808,0.359208,0.151932,0.8000
343,13.961715,3.278341,4.517674,0.360340,0.152212,0.8000
344,13.968365,3.279109,4.522952,0.359906,0.152771,0.8000
345,13.959073,3.277391,4.517142,0.360797,0.152389,0.8000
346,13.966115,3.278897,4.521973,0.359695,0.152149,0.8000
347,13.970206,3.279009,4.526453,0.360178,0.151837,0.8000
348,13.964877,3.278255,4.523298,0.359664,0.151809,0.8000
349,13.970077,3.279656,4.525465,0.359056,0.151682,0.8000
350,13.968118,3.278291,4.528518,0.358286,0.152146,0.8000
351,13.971010,3.279129,4.529066,0.358191,0.152178,0.8000
352,13.967576,3.279709,4.520215,0.360168,0.152110,0.8000
353,13.969631,3.278260,4.528945,0.359230,0.152466,0.8000
354,13.967407,3.279208,4.522547,0.359370,0.152376,0.8000
355,13.961238,3.277343,4.520629,0.360085,0.152622,0.8000
356,13.962094,3.278274,4.519216,0.360168,0.151731,0.8000
357,13.972557,3.279864,4.527602,0.359338,0.151547,0.8000
358,13.977968,3.280557,4.531690,0.358509,0.152436,0.8000
359,13.964993,3.279251,4.520491,0.358629,0.152219,0.8000
360,13.964724,3.278034,4.523811,0.359678,0.151895,0.8000
361,13.965486,3.278596,4.523200,0.358919,0.152219,0.8000
362,13.971034,3.279818,4.525627,0.358842,0.152237,0.8000
363,13.960298,3.277790,4.519980,0.358849,0.152096,0.8000
364,13.968895,3.279691,4.524331,0.358943,0.151415,0.8000
365,13.970220,3.279708,4.523975,0.359642,0.152273,0.8000
366,13.971319,3.279061,4.530655,0.358015,0.151598,0.8000
367,13.967641,3.278731,4.525248,0.358722,0.152527,0.8000
368,13.972253,3.279103,4.530895,0.358010,0.152217,0.8000
369,13.962524,3.277816,4.522091,0.359243,0.152159,0.8000
370,13.956984,3.276341,4.520270,0.359645,0.152100,0.8000
371,13.968812,3.278564,4.527186,0.359255,0.152114,0.8000
372,13.971177,3.279540,4.527146,0.359024,0.151815,0.8000
373,13.958095,3.277293,4.517492,0.359838,0.152383,0.8000
374,13.955731,3.277066,4.515706,0.359835,0.152133,0.8000
375,13.958445,3.277941,4.517551,0.359256,0.151325,0.8000
376,13.970900,3.279587,4.526522,0.358762,0.152159,0.8000
377,13.969471,3.279856,4.522737,0.359418,0.152296,0.8000
378,13.974230,3.279416,4.531339,0.358617,0.152293,0.8000
379,13.971586,3.278882,4.528725,0.359787,0.152174,0.8000
380,13.969288,3.278264,4.530605,0.358331,0.151680,0.8000
381,13.969346,3.278742,4.527472,0.359227,0.151915,0.8000
382,13.969328,3.278498,4.529368,0.358470,0.151870,0.8000
383,13.967056,3.279668,4.521520,0.359064,0.151770,0.8000
384,13.956403,3.277442,4.516162,0.359139,0.152010,0.8000
385,13.972420,3.280466,4.525950,0.358961,0.151303,0.8000
386,13.968300,3.279622,4.522279,0.360079,0.151531,0.8000
387,13.957654,3.276498,4.520288,0.359839,0.152090,0.8000
388,13.962098,3.277335,4.524404,0.359078,0.151492,0.8000
389,13.962001,3.277996,4.520788,0.359043,0.152342,0.8000
390,13.969991,3.279269,4.527933,0.358130,0.151708,0.8000
