epoch,loss,recon,kl,atom_ce,prop_mse,kl_w
186,11.780285,2.690926,4.396861,0.341328,0.176990,0.7253
187,11.811783,2.701014,4.362672,0.343795,0.177285,0.7307
188,11.814940,2.707165,4.306964,0.345961,0.177558,0.7360
189,11.853551,2.719496,4.274098,0.348690,0.177842,0.7413
190,11.876991,2.727699,4.238498,0.351420,0.177729,0.7467
191,11.907177,2.739101,4.200797,0.352895,0.177979,0.7520
192,11.920733,2.745926,4.157449,0.356280,0.178100,0.7573
193,11.952085,2.756861,4.123659,0.357956,0.178570,0.7627
194,11.971021,2.764075,4.087198,0.360861,0.178966,0.7680
195,11.992767,2.773253,4.046695,0.363987,0.179577,0.7733
196,12.010146,2.783914,3.995865,0.367694,0.179262,0.7787
197,12.044458,2.795461,3.966388,0.368513,0.179913,0.7840
198,12.057147,2.801980,3.927786,0.370836,0.180039,0.7893
199,12.082798,2.811211,3.893904,0.374349,0.180462,0.7947
200,12.095258,2.818947,3.850739,0.376982,0.180843,0.8000
201,12.091427,2.820471,3.839101,0.377540,0.181193,0.8000
202,12.095262,2.819798,3.845664,0.378354,0.180982,0.8000
203,12.099292,2.823066,3.841255,0.376095,0.180996,0.8000
204,12.080210,2.818030,3.834312,0.377541,0.181129,0.8000
205,12.088159,2.820393,3.835764,0.376926,0.181441,0.8000
206,12.079957,2.820038,3.825951,0.377921,0.181162,0.8000
207,12.093095,2.820841,3.841801,0.376538,0.180592,0.8000
208,12.080902,2.818181,3.834900,0.377351,0.181088,0.8000
209,12.087693,2.820480,3.837277,0.375775,0.180655,0.8000
210,12.088264,2.818632,3.845551,0.374879,0.181047,0.8000
211,12.081849,2.817064,3.842777,0.375654,0.180782,0.8000
212,12.093346,2.821791,3.839267,0.375571,0.180990,0.8000
213,12.088473,2.820860,3.834629,0.377470,0.180719,0.8000
214,12.074916,2.818185,3.827145,0.377592,0.181053,0.8000
215,12.099178,2.823696,3.836649,0.377721,0.181051,0.8000
216,12.090810,2.820819,3.838637,0.376438,0.181006,0.8000
217,12.092407,2.821855,3.834394,0.378252,0.181075,0.8000
218,12.088640,2.820635,3.835569,0.377784,0.180497,0.8000
219,12.087869,2.821155,3.833322,0.377168,0.180580,0.8000
220,12.088059,2.822276,3.830680,0.375876,0.180811,0.8000
221,12.083689,2.821913,3.824893,0.377379,0.180658,0.8000
222,12.084083,2.822083,3.824368,0.377455,0.180883,0.8000
223,12.076239,2.819733,3.823279,0.377263,0.181153,0.8000
224,12.087243,2.822387,3.827780,0.376730,0.181128,0.8000
225,12.073778,2.819108,3.821479,0.377927,0.181345,0.8000
226,12.072786,2.820012,3.819446,0.376293,0.180900,0.8000
227,12.086724,2.821861,3.829010,0.376458,0.181476,0.8000
228,12.079268,2.820552,3.827090,0.374798,0.181143,0.8000
229,12.083506,2.820172,3.832927,0.375236,0.181413,0.8000
230,12.082159,2.819977,3.831413,0.375849,0.181248,0.8000
231,12.089088,2.822037,3.833308,0.375076,0.181254,0.8000
232,12.075882,2.819121,3.828774,0.374692,0.180807,0.8000
233,12.079526,2.819771,3.827804,0.376704,0.181265,0.8000
234,12.080941,2.820979,3.826296,0.375736,0.181233,0.8000
235,12.071750,2.819490,3.819083,0.377086,0.180930,0.8000
236,12.084544,2.821995,3.829035,0.374618,0.180711,0.8000
237,12.083598,2.821125,3.828998,0.376019,0.181006,0.8000
238,12.076310,2.819102,3.827780,0.375858,0.180921,0.8000
239,12.082856,2.821781,3.826751,0.375241,0.180870,0.8000
240,12.086163,2.822289,3.828385,0.375295,0.181292,0.8000
241,12.079637,2.820619,3.826390,0.375720,0.180948,0.8000
242,12.084551,2.821078,3.832212,0.374637,0.180909,0.8000
243,12.072396,2.820364,3.819172,0.375236,0.180731,0.8000
244,12.081534,2.820926,3.827207,0.376015,0.180976,0.8000
245,12.080763,2.823059,3.820886,0.374093,0.180785,0.8000
246,12.073580,2.820025,3.821533,0.375483,0.180795,0.8000
247,12.076318,2.821286,3.821022,0.374957,0.180687,0.8000
248,12.086856,2.822582,3.830172,0.374291,0.180681,0.8000
249,12.074530,2.820535,3.823292,0.373607,0.180686,0.8000
250,12.088670,2.824618,3.825465,0.373710,0.180733,0.8000
251,12.069226,2.820752,3.813905,0.374963,0.180883,0.8000
252,12.092669,2.823987,3.831281,0.374902,0.180783,0.8000
253,12.073757,2.821357,3.817580,0.374865,0.180756,0.8000
254,12.073217,2.821157,3.818265,0.374267,0.180866,0.8000
255,12.067873,2.820157,3.816593,0.373340,0.180787,0.8000
256,12.082330,2.823430,3.821463,0.374205,0.180665,0.8000
257,12.086471,2.824554,3.822973,0.373924,0.180509,0.8000
258,12.083145,2.822371,3.826897,0.373891,0.180624,0.8000
259,12.074372,2.822456,3.814882,0.374002,0.181096,0.8000
260,12.073644,2.821017,3.820211,0.373075,0.181348,0.8000
261,12.078525,2.822832,3.818819,0.373846,0.181127,0.8000
262,12.069836,2.819739,3.819125,0.373899,0.181420,0.8000
263,12.082476,2.822657,3.825378,0.373347,0.180855,0.8000
264,12.079991,2.823732,3.817105,0.373990,0.181121,0.8000
265,12.082220,2.823029,3.825354,0.372196,0.180653,0.8000
266,12.067380,2.820466,3.813955,0.373631,0.181187,0.8000
267,12.080932,2.822292,3.825600,0.373156,0.180420,0.8000
268,12.068051,2.819859,3.818894,0.372279,0.181079,0.8000
269,12.071384,2.820258,3.821170,0.372920,0.180755,0.8000
270,12.080525,2.823184,3.821190,0.372771,0.181249,0.8000
271,12.086045,2.823384,3.828715,0.371927,0.180994,0.8000
272,12.077416,2.820332,3.828707,0.372659,0.180795,0.8000
273,12.077766,2.823126,3.818368,0.373011,0.180681,0.8000
274,12.069099,2.821096,3.813644,0.373924,0.180973,0.8000
275,12.086355,2.823244,3.828221,0.373430,0.180615,0.8000
276,12.075103,2.821081,3.821805,0.373428,0.180988,0.8000
277,12.074081,2.820665,3.822864,0.373400,0.180394,0.8000
278,12.077856,2.822235,3.823808,0.371208,0.180897,0.8000
279,12.069921,2.819355,3.822133,0.373455,0.180695,0.8000
280,12.071990,2.819241,3.824828,0.373762,0.180643,0.8000
281,12.075902,2.819358,3.829191,0.373469,0.181005,0.8000
282,12.071649,2.821411,3.817687,0.372662,0.180606,0.8000
283,12.078035,2.821008,3.826432,0.373288,0.180578,0.8000
284,12.073546,2.820350,3.824642,0.372218,0.180564,0.8000
285,12.055508,2.816037,3.817383,0.372828,0.180662,0.8000
286,12.078973,2.821730,3.825752,0.372178,0.181005,0.8000
287,12.062335,2.817317,3.822391,0.371658,0.180814,0.8000
288,12.071079,2.819000,3.824568,0.373582,0.180841,0.8000
289,12.078455,2.819694,3.831732,0.373124,0.180863,0.8000
290,12.066484,2.819431,3.816863,0.373612,0.181090,0.8000
291,12.066148,2.817551,3.825452,0.372542,0.180591,0.8000
292,12.066875,2.818103,3.825386,0.371698,0.180560,0.8000
293,12.061732,2.817117,3.821795,0.372209,0.180736,0.8000
294,12.058583,2.816593,3.819570,0.372569,0.180580,0.8000
295,12.075168,2.819694,3.829673,0.371317,0.181030,0.8000
296,12.073438,2.817734,3.835853,0.371268,0.180285,0.8000
297,12.073086,2.818022,3.833178,0.371993,0.180486,0.8000
298,12.074519,2.819446,3.827733,0.373492,0.180504,0.8000
299,12.074087,2.819800,3.826368,0.373458,0.180134,0.8000
300,12.065315,2.819093,3.818424,0.372558,0.180739,0.8000
301,12.071165,2.818986,3.826279,0.372671,0.180511,0.8000
302,12.061148,2.817399,3.818798,0.373375,0.180539,0.8000
303,12.081251,2.820746,3.833356,0.372194,0.180135,0.8000
304,12.072595,2.818042,3.833780,0.371181,0.180263,0.8000
305,12.074668,2.819786,3.828342,0.371965,0.180673,0.8000
306,12.071519,2.817913,3.833112,0.371095,0.180196,0.8000
307,12.066114,2.817747,3.825689,0.371956,0.180365,0.8000
308,12.072154,2.819188,3.826787,0.372744,0.180417,0.8000
309,12.059642,2.814638,3.828775,0.372192,0.180517,0.8000
310,12.067312,2.816386,3.831347,0.372516,0.180560,0.8000
311,12.052406,2.815196,3.817193,0.372418,0.180646,0.8000
312,12.071487,2.817606,3.833478,0.371448,0.180439,0.8000
313,12.071460,2.817785,3.832079,0.371977,0.180466,0.8000
314,12.071840,2.817758,3.831693,0.372661,0.180552,0.8000
315,12.063365,2.815588,3.831240,0.371201,0.180407,0.8000
316,12.064814,2.815869,3.830811,0.371769,0.180789,0.8000
317,12.071140,2.817925,3.831343,0.371664,0.180628,0.8000
318,12.065876,2.817999,3.823825,0.372111,0.180707,0.8000
319,12.074367,2.817946,3.834710,0.371743,0.181019,0.8000
320,12.070684,2.817892,3.830350,0.372085,0.180643,0.8000
321,12.080698,2.819891,3.835879,0.371887,0.180435,0.8000
322,12.068931,2.816713,3.834109,0.370771,0.180732,0.8000
323,12.069319,2.816048,3.836612,0.371487,0.180399,0.8000
324,12.065836,2.815807,3.832017,0.372280,0.180522,0.8000
325,12.081535,2.819041,3.842074,0.370674,0.180078,0.8000
326,12.074845,2.816065,3.843455,0.371497,0.180387,0.8000
327,12.071529,2.817900,3.832520,0.371425,0.180389,0.8000
328,12.065934,2.816536,3.830877,0.371086,0.180539,0.8000
329,12.058365,2.815215,3.824320,0.372922,0.180342,0.8000
330,12.063771,2.815329,3.831823,0.371694,0.180633,0.8000
331,12.074334,2.818218,3.833902,0.371874,0.180686,0.8000
332,12.071548,2.816386,3.836042,0.372839,0.180719,0.8000
333,12.072948,2.816748,3.838911,0.370771,0.180804,0.8000
334,12.079823,2.820010,3.833478,0.372240,0.180769,0.8000
335,12.072498,2.818779,3.830038,0.371257,0.180875,0.8000
336,12.074807,2.818379,3.836502,0.369965,0.180504,0.8000
337,12.075542,2.816565,3.844279,0.369845,0.180579,0.8000
338,12.064730,2.815335,3.833496,0.370961,0.180967,0.8000
339,12.075970,2.817353,3.840162,0.370676,0.181104,0.8000
340,12.069801,2.817526,3.829896,0.372628,0.180678,0.8000
341,12.069249,2.817012,3.831669,0.371636,0.181240,0.8000
342,12.066433,2.814691,3.839419,0.370413,0.180411,0.8000
343,12.072285,2.817830,3.834045,0.370700,0.180860,0.8000
344,12.063789,2.815221,3.833463,0.370334,0.181020,0.8000
345,12.074430,2.815619,3.843863,0.371276,0.181206,0.8000
346,12.075757,2.818097,3.837652,0.370139,0.181205,0.8000
347,12.066430,2.816913,3.829860,0.370496,0.181306,0.8000
348,12.064199,2.814363,3.836935,0.370396,0.181168,0.8000
349,12.060620,2.814789,3.829290,0.371304,0.181516,0.8000
350,12.071403,2.816315,3.838849,0.369892,0.181488,0.8000
351,12.067933,2.815820,3.836224,0.370104,0.181391,0.8000
352,12.068793,2.815952,3.835268,0.371566,0.181156,0.8000
353,12.073363,2.817016,3.838398,0.370297,0.181300,0.8000
354,12.058116,2.813400,3.832693,0.370599,0.181162,0.8000
355,12.069514,2.815122,3.840600,0.370237,0.181431,0.8000
356,12.072453,2.817659,3.834831,0.370776,0.180835,0.8000
357,12.054997,2.813794,3.826690,0.370862,0.181401,0.8000
358,12.069583,2.816391,3.834257,0.371051,0.181953,0.8000
359,12.061181,2.814763,3.831077,0.370398,0.181633,0.8000
360,12.066941,2.816391,3.833201,0.369803,0.181405,0.8000
361,12.051854,2.812400,3.828780,0.370270,0.181359,0.8000
362,12.062485,2.814835,3.831731,0.371151,0.181445,0.8000
363,12.056332,2.811707,3.836748,0.370491,0.181321,0.8000
364,12.050722,2.813093,3.824533,0.370222,0.181595,0.8000
365,12.075354,2.817137,3.840259,0.370160,0.181576,0.8000
366,12.073699,2.816185,3.842734,0.369458,0.181500,0.8000
367,12.058780,2.813587,3.834230,0.369544,0.181091,0.8000
368,12.045685,2.809865,3.830585,0.370180,0.181442,0.8000
369,12.066297,2.815036,3.837521,0.369360,0.181811,0.8000
370,12.050775,2.812457,3.825556,0.370935,0.182022,0.8000
371,12.064001,2.814727,3.836496,0.368739,0.181883,0.8000
372,12.057678,2.813174,3.832647,0.370499,0.181538,0.8000
373,12.067824,2.815821,3.837827,0.368286,0.181815,0.8000
374,12.051231,2.811470,3.832093,0.369293,0.181852,0.8000
375,12.062969,2.813901,3.835520,0.370832,0.182019,0.8000
376,12.078555,2.817318,3.845170,0.369034,0.181431,0.8000
