sample_step,avg_loss,time,lr,cond
113920,2.057849,1762266017.088,0.0002,Y
114560,2.104620,1762266053.262,0.0002,Y
115200,2.143797,1762266090.734,0.0002,Y
115840,2.175378,1762266127.117,0.0002,Y
116480,2.105852,1762266164.529,0.0002,Y
117120,2.175488,1762266200.821,0.0002,Y
117760,2.102243,1762266236.607,0.0002,Y
118400,2.104363,1762266273.873,0.0002,Y
119040,2.018413,1762266310.553,0.0002,Y
119680,2.135094,1762266347.157,0.0002,Y
120320,2.064663,1762266384.514,0.0002,Y
120960,2.128799,1762266420.795,0.0002,Y
121600,2.094463,1762266456.632,0.0002,Y
122240,2.123368,1762266493.586,0.0002,Y
122880,2.045128,1762266530.201,0.0002,Y
123520,2.057775,1762266566.273,0.0002,Y
124160,2.092892,1762266603.562,0.0002,Y
124800,1.984360,1762266640.185,0.0002,Y
125440,2.009179,1762266676.933,0.0002,Y
126080,2.060635,1762266713.044,0.0002,Y
126720,2.030390,1762266750.199,0.0002,Y
127360,1.997850,1762266787.144,0.0002,Y
128000,2.019285,1762266824.364,0.0002,Y
128640,2.033911,1762266861.432,0.0002,Y
129280,2.060520,1762266898.358,0.0002,Y
129920,2.031733,1762266933.865,0.0002,Y
130560,2.006639,1762266970.716,0.0002,Y
131200,1.985792,1762267007.288,0.0002,Y
131840,2.065576,1762267044.212,0.0002,Y
132480,2.012397,1762267080.401,0.0002,Y
133120,2.127320,1762267117.108,0.0002,Y
133760,2.041791,1762267153.648,0.0002,Y
134400,1.974894,1762267190.640,0.0002,Y
135040,1.952420,1762267227.399,0.0002,Y
135680,2.039904,1762267264.537,0.0002,Y
136320,1.997074,1762267300.967,0.0002,Y
136960,1.971532,1762267338.244,0.0002,Y
137600,1.972036,1762267375.855,0.0002,Y
138240,1.989246,1762267411.859,0.0002,Y
138880,2.007444,1762267449.622,0.0002,Y
139520,1.926086,1762267486.092,0.0002,Y
140160,1.932346,1762267522.862,0.0002,Y
140800,1.983516,1762267560.358,0.0002,Y
141440,1.927336,1762267597.208,0.0002,Y
142080,1.881358,1762267634.334,0.0002,Y
142720,1.945638,1762267671.894,0.0002,Y
143360,1.993963,1762267708.574,0.0002,Y
144000,1.993230,1762267744.324,0.0002,Y
144640,1.954418,1762267780.522,0.0002,Y
145280,1.937539,1762267817.659,0.0002,Y
145920,1.893803,1762267855.082,0.0002,Y
146560,1.846589,1762267892.491,0.0002,Y
147200,1.878288,1762267930.163,0.0002,Y
147840,1.886026,1762267966.522,0.0002,Y
148480,1.919910,1762268003.084,0.0002,Y
149120,1.945078,1762268039.972,0.0002,Y
149760,1.894515,1762268076.964,0.0002,Y
150400,1.901004,1762268113.225,0.0002,Y
151040,1.944756,1762268149.887,0.0002,Y
151680,1.884923,1762268186.328,0.0002,Y
152320,1.888300,1762268223.688,0.0002,Y
152960,1.929194,1762268261.333,0.0002,Y
153600,1.911866,1762268299.287,0.0002,Y
154240,1.908979,1762268336.090,0.0002,Y
154880,1.824726,1762268372.939,0.0002,Y
155520,1.808758,1762268410.049,0.0002,Y
156160,1.849068,1762268447.476,0.0002,Y
156800,1.872690,1762268484.121,0.0002,Y
157440,1.911737,1762268520.930,0.0002,Y
158080,1.843575,1762268557.634,0.0002,Y
158720,1.814189,1762268594.784,0.0002,Y
159360,1.798443,1762268631.203,0.0002,Y
160000,1.735929,1762268668.842,0.0002,Y
160640,1.907320,1762268705.501,0.0002,Y
161280,1.803362,1762268741.392,0.0002,Y
161920,1.821497,1762268778.094,0.0002,Y
162560,1.867594,1762268815.099,0.0002,Y
163200,1.809068,1762268852.365,0.0002,Y
163840,1.764980,1762268889.883,0.0002,Y
164480,1.907253,1762268926.280,0.0002,Y
165120,1.784841,1762268963.587,0.0002,Y
165760,1.921980,1762268999.901,0.0002,Y
166400,1.907902,1762269036.378,0.0002,Y
167040,1.818372,1762269073.021,0.0002,Y
167680,1.862494,1762269110.124,0.0002,Y
168320,1.716662,1762269146.961,0.0002,Y
168960,1.778575,1762269184.342,0.0002,Y
169600,1.800010,1762269221.319,0.0002,Y
170240,1.781162,1762269258.182,0.0002,Y
170880,1.757293,1762269294.593,0.0002,Y
171520,1.836014,1762269331.545,0.0002,Y
172160,1.817613,1762269368.882,0.0002,Y
172800,1.801766,1762269404.663,0.0002,Y
173440,1.848303,1762269441.057,0.0002,Y
174080,1.776427,1762269476.392,0.0002,Y
174720,1.734068,1762269513.461,0.0002,Y
175360,1.757044,1762269550.136,0.0002,Y
176000,1.795138,1762269587.741,0.0002,Y
176640,1.773319,1762269625.180,0.0002,Y
177280,1.749963,1762269662.683,0.0002,Y
177920,1.710102,1762269699.778,0.0002,Y
178560,1.779199,1762269736.523,0.0002,Y
179200,1.750308,1762269773.440,0.0002,Y
179840,1.769013,1762269810.197,0.0002,Y
180480,1.730304,1762269846.652,0.0002,Y
181120,1.666723,1762269883.119,0.0002,Y
181760,1.774186,1762269920.238,0.0002,Y
182400,1.795372,1762269957.472,0.0002,Y
183040,1.704100,1762269994.263,0.0002,Y
183680,1.742897,1762270031.480,0.0002,Y
184320,1.748779,1762270068.923,0.0002,Y
184960,1.753404,1762270106.240,0.0002,Y
185600,1.748442,1762270143.269,0.0002,Y
186240,1.695893,1762270179.455,0.0002,Y
186880,1.763248,1762270215.794,0.0002,Y
187520,1.721400,1762270253.415,0.0002,Y
188160,1.669255,1762270291.371,0.0002,Y
188800,1.780446,1762270327.870,0.0002,Y
189440,1.709642,1762270365.040,0.0002,Y
190080,1.669852,1762270401.587,0.0002,Y
190720,1.711449,1762270439.081,0.0002,Y
191360,1.672281,1762270476.131,0.0002,Y
192000,1.732914,1762270513.831,0.0002,Y
192640,1.691878,1762270550.913,0.0002,Y
193280,1.766874,1762270587.624,0.0002,Y
193920,1.648330,1762270624.987,0.0002,Y
194560,1.764607,1762270661.923,0.0002,Y
195200,1.727495,1762270698.498,0.0002,Y
195840,1.687028,1762270734.522,0.0002,Y
196480,1.619881,1762270771.055,0.0002,Y
197120,1.711677,1762270808.748,0.0002,Y
197760,1.751982,1762270846.121,0.0002,Y
198400,1.668438,1762270883.908,0.0002,Y
199040,1.668939,1762270921.857,0.0002,Y
199680,1.734082,1762270958.118,0.0002,Y
200320,1.711317,1762270994.364,0.0002,Y
200960,1.584043,1762271031.412,0.0002,Y
201600,1.672097,1762271067.677,0.0002,Y
202240,1.654685,1762271105.103,0.0002,Y
202880,1.691861,1762271141.860,0.0002,Y
203520,1.721646,1762271177.499,0.0002,Y
204160,1.657942,1762271214.478,0.0002,Y
204800,1.599425,1762271251.955,0.0002,Y
205440,1.681570,1762271288.404,0.0002,Y
206080,1.648366,1762271325.003,0.0002,Y
206720,1.713232,1762271362.437,0.0002,Y
207360,1.645112,1762271398.831,0.0002,Y
208000,1.587907,1762271436.002,0.0002,Y
208640,1.653926,1762271472.273,0.0002,Y
209280,1.634740,1762271509.083,0.0002,Y
209920,1.581239,1762271544.478,0.0002,Y
210560,1.633986,1762271582.320,0.0002,Y
211200,1.675630,1762271618.193,0.0002,Y
211840,1.561194,1762271654.962,0.0002,Y
212480,1.683423,1762271691.809,0.0002,Y
213120,1.665500,1762271728.559,0.0002,Y
