step,avg_reward,avg_len,time,lr
143560,-0.387005,16.649,1771290167.890,2e-05
144300,-0.424382,17.108,1771290506.681,2e-05
145040,-0.337640,16.568,1771290842.660,2e-05
145780,-0.696766,16.041,1771291180.052,2e-05
146520,-0.833878,15.514,1771291517.427,2e-05
147260,-0.827736,16.527,1771291849.007,2e-05
148000,-0.538163,16.851,1771292179.914,2e-05
148740,-0.370151,17.014,1771292514.404,2e-05
149480,-0.333745,17.730,1771292850.577,2e-05
150220,-0.526530,17.757,1771293184.652,2e-05
150960,-0.397580,17.743,1771293522.338,2e-05
151700,-0.391462,17.541,1771293860.130,2e-05
152440,-0.437620,17.959,1771294198.485,2e-05
153180,-0.319738,18.216,1771294534.102,2e-05
153920,-0.502884,17.730,1771294874.260,2e-05
154660,-0.425618,17.797,1771295214.154,2e-05
155400,-0.373750,17.622,1771295552.225,2e-05
156140,-0.366482,17.784,1771295890.496,2e-05
156880,-0.374593,17.243,1771296229.372,2e-05
157620,-0.153591,17.338,1771296571.092,2e-05
158360,-0.427499,16.838,1771296910.125,2e-05
159100,-0.496171,16.932,1771297248.917,2e-05
159840,-0.356613,16.527,1771297586.245,2e-05
160580,-2.431257,17.378,1771297926.523,2e-05
161320,-0.452062,16.676,1771298264.447,2e-05
162060,-0.357989,18.149,1771298605.650,2e-05
162800,-0.235116,17.581,1771298943.967,2e-05
163540,-0.381718,17.932,1771299283.806,2e-05
164280,-0.561510,18.081,1771299624.066,2e-05
165020,-0.248884,18.378,1771299963.479,2e-05
165760,-0.315334,17.811,1771300301.327,2e-05
166500,-0.266341,18.149,1771300643.284,2e-05
167240,-0.256852,17.959,1771300982.462,2e-05
167980,-0.348761,17.986,1771301321.851,2e-05
168720,-0.228751,18.122,1771301665.173,2e-05
169460,-0.195873,17.243,1771302007.948,2e-05
170200,-0.777441,17.568,1771302347.433,2e-05
170940,-0.178029,17.743,1771302688.509,2e-05
171680,-0.353388,17.973,1771303026.938,2e-05
172420,-0.307028,18.351,1771303365.913,2e-05
173160,-0.319089,17.973,1771303704.709,2e-05
173900,-0.321279,18.054,1771304042.783,2e-05
