smiles,D,P,EG,r0
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CCN(CN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.571,5.78812362309,8.82438373026,1.796
N#CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.507,5.75320735798,8.86939815988,1.737
CN(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.284,5.67435366397,8.82350072799,1.666
O=[N+]([O-])N(CCC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.645,5.79148805508,8.90815361332,1.755
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.334,5.75002972582,8.67453876214,1.851
CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.748,5.80633906298,8.93168411073,1.73
CC(=O)ON([C@@H](CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.71,5.82393307579,8.87556669199,1.807
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.604,5.80362780963,8.81818627793,1.82
O=C(C(=O)N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.59,5.79148805508,8.85309383614,1.793
O=[N+]([O-])N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.829,5.85277702733,8.91784674253,1.812
O=[N+]([O-])N(CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.702,5.83393315912,8.83666458636,1.843
O=[N+]([O-])N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.525,5.80211837538,8.74033674273,1.873
C[N+](=O)[O-],7.271,5.30876262441,8.49310539589,1.421
CC(COC(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.201,5.36924170488,8.39004140576,1.599
CC(C)(COC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],6.92,5.26320818943,8.35396813031,1.535
CC(COC(=O)C(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.109,5.34853508271,8.34141021146,1.612
CC(COC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.695,5.52545293913,8.5814816813,1.661
CCC(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.424,5.43633866445,8.51218064959,1.616
